Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A116FA21 December 4 2014 02_08.obj	89.42	94.51	17.52	33.19	34.28	24.56	25.06	38.66	40.57	48.54	49.56	24.70	25.06	41.50	41.08	54.47	55.93	41.91	42.82	92.05	21.96	18.87	41.20	27.16	25.88	27.16	88.09	11.56	39.09	38.94	146.21	91.43	150.34	33.52	76.99	70.00	23.32	23.60	113.25	111.77	75.46	23.09	23.25	27.16	43.28	93.13	12.28	90.13	102.84	101.10	102.41	78.50	78.32	38.67	38.57	102.84	24.50	48.58	49.18	23.95	24.79	14.03	13.95	40.12	76.73	104.15	38.74	40.25	105.31	104.87	112.53	99.33	77.81	102.38	136.71	13.16	12.09	26.22	26.81	72.81	73.38	86.86	173.01	56.59	56.98	71.91	71.91	81.70	36.57	35.67	42.53	42.04	40.58	88.44	104.15	16.74	17.27	27.67	27.76	33.88	36.12	91.43	76.73	102.84	43.28	40.12	17.06	26.81	47.58	33.19	34.28	12.09	17.70	90.09	57.86	24.56	64.66	56.98	38.57	25.06	27.16	92.62	65.46	55.93	27.16	32.65	45.25	43.14	45.78	43.54	50.78	48.24	54.57	9.64	18.21	18.09	12.83	0.72	
A118FR24 December 4 2014 03_14.obj	81.90	79.19	16.61	29.04	30.47	22.63	21.99	36.51	35.28	41.23	40.64	22.72	21.99	35.41	36.22	50.98	51.26	39.51	39.84	84.07	19.27	18.36	37.66	25.91	24.18	23.32	78.16	12.57	35.85	35.95	137.42	81.63	127.85	31.53	62.58	66.67	22.39	22.36	95.06	94.21	66.83	22.33	22.43	25.91	38.20	84.62	11.31	83.17	93.09	92.62	92.80	64.56	63.59	36.05	34.51	93.09	22.50	40.61	40.07	21.67	21.46	10.62	10.52	36.82	66.98	88.49	34.65	35.78	89.50	89.43	101.45	91.13	63.62	94.16	116.95	11.35	10.67	22.17	23.32	65.70	67.69	75.90	151.78	48.32	48.12	57.50	57.50	74.21	34.11	32.99	33.46	34.30	37.18	77.78	88.49	14.90	15.26	26.56	26.60	32.58	34.10	81.63	66.98	93.09	38.20	36.82	15.30	23.32	44.13	29.04	30.47	10.67	18.00	83.19	51.37	22.62	58.17	48.12	34.51	21.99	25.91	80.06	54.15	51.26	23.32	29.81	41.57	36.16	37.29	44.48	48.24	43.58	49.45	9.30	17.84	15.31	11.28	0.94	
A120FA20 December 10 2014 02_31.obj	97.61	97.78	19.61	33.46	34.39	23.80	26.02	40.47	40.86	50.87	50.99	23.80	24.96	41.95	43.64	57.77	59.25	43.26	44.92	98.61	24.15	19.47	35.23	30.12	28.96	29.91	96.58	15.15	39.63	40.79	158.04	99.86	146.46	33.87	78.18	79.81	24.16	25.21	112.98	110.23	79.26	24.44	25.77	30.12	41.17	103.11	14.34	94.13	111.93	105.53	110.49	79.99	79.57	41.10	40.75	111.93	28.50	51.53	51.11	24.24	25.18	11.68	11.68	37.25	77.81	108.30	42.48	44.58	110.38	109.59	115.85	103.77	78.63	102.87	135.83	11.72	11.03	24.85	24.67	72.12	76.30	88.67	175.27	62.82	62.90	73.10	73.10	84.40	37.89	37.89	41.30	41.48	41.24	91.96	108.30	17.25	16.71	30.64	31.82	38.24	41.56	99.86	77.81	111.93	41.17	37.25	20.40	24.67	42.79	33.46	34.39	11.03	19.70	97.04	61.31	28.68	68.11	62.90	40.75	24.96	30.12	96.61	66.49	59.25	29.91	34.04	46.85	45.05	47.21	50.29	55.56	50.22	61.66	10.52	17.52	17.99	14.04	1.29	
A121FL32 February 19 2015 02_09.obj	92.45	98.34	19.65	31.28	29.50	22.47	24.03	39.23	40.02	48.96	49.67	22.47	22.86	38.48	41.18	54.10	53.87	42.20	42.19	87.17	22.76	19.01	40.32	30.27	28.30	28.39	81.21	13.38	37.58	37.51	143.14	85.78	149.46	30.50	78.69	78.42	23.80	24.60	113.48	108.39	70.65	22.82	23.51	30.27	39.21	92.27	13.95	84.42	107.51	101.27	106.62	80.40	79.50	37.88	38.55	107.51	28.00	48.34	49.15	22.66	23.02	11.54	11.54	36.40	72.63	108.95	36.98	38.97	110.87	110.22	106.34	104.67	79.43	96.87	134.97	13.05	9.82	22.91	21.46	70.48	72.26	88.93	173.08	59.83	60.82	73.61	73.61	76.73	36.27	36.04	43.56	42.83	38.89	91.00	108.95	16.28	16.94	29.40	29.98	37.69	40.73	85.78	72.63	107.51	39.21	36.40	21.15	21.46	37.43	31.28	29.50	9.82	15.40	92.76	61.78	27.90	68.58	60.82	38.55	22.86	30.27	97.42	67.15	53.87	28.39	32.09	48.44	42.51	45.80	46.56	53.96	50.19	57.28	10.61	22.93	13.95	12.10	1.27	
A123FR44 February 10 2015 03_47.obj	78.58	81.07	14.86	21.23	28.08	21.26	20.88	32.01	32.26	38.52	38.55	21.15	20.88	37.88	42.07	50.41	50.25	35.76	36.80	81.81	21.57	18.75	35.15	23.02	25.60	24.60	80.73	10.52	31.78	32.18	132.91	84.54	128.43	29.88	66.21	59.04	21.02	21.61	99.18	97.29	65.83	21.79	21.80	23.02	39.27	82.25	10.55	78.96	88.61	88.52	87.47	67.83	66.91	31.00	31.50	88.61	21.00	37.61	37.81	19.46	19.85	12.70	10.51	34.73	63.27	89.23	40.93	41.77	90.14	90.19	100.93	86.79	66.82	90.14	118.09	8.17	10.60	24.62	25.69	63.10	64.02	73.22	153.51	46.20	46.54	61.13	61.13	69.70	29.48	29.73	35.23	35.44	39.69	75.81	89.23	15.01	14.81	26.75	27.40	28.61	30.43	84.54	63.27	88.61	39.27	34.73	16.23	25.69	43.26	21.23	28.08	10.60	18.70	81.70	50.17	21.11	56.97	46.54	31.50	20.88	23.02	80.71	57.68	50.25	24.60	28.50	38.32	37.44	38.46	39.97	45.70	40.39	48.16	8.16	16.72	17.46	11.89	0.96	
A124FA35 February 19 2015 02_16.obj	122.88	93.94	20.67	39.94	39.97	24.67	24.98	42.24	42.84	54.43	55.55	24.80	24.98	58.57	53.98	52.07	54.31	36.97	39.38	125.20	24.75	19.12	53.86	33.45	35.07	36.41	119.54	17.73	41.29	41.84	157.42	124.72	144.11	39.52	73.27	91.22	28.49	28.68	105.34	105.57	107.80	27.71	27.99	33.45	38.53	119.55	9.43	120.57	126.01	125.62	118.58	74.63	74.16	43.88	43.37	126.01	19.00	55.24	55.84	23.69	25.17	12.17	11.91	42.12	106.81	106.72	51.29	53.66	108.10	107.37	137.69	124.01	77.88	124.30	130.27	15.82	13.84	28.93	29.75	74.04	75.73	117.32	165.90	66.45	68.05	68.19	68.19	104.94	39.49	38.18	41.14	41.05	54.46	117.49	106.72	18.02	17.70	37.57	40.49	45.43	45.80	124.72	106.81	126.01	38.53	42.12	23.47	29.75	44.74	39.94	39.97	13.84	26.80	120.24	59.98	18.85	66.78	68.05	43.37	24.98	33.45	97.51	64.05	54.31	36.41	32.79	64.75	52.68	63.76	59.00	59.04	65.12	60.85	12.79	22.63	16.83	15.27	0.65	
A127FA39 February 24 2015 10_57.obj	85.37	100.26	19.06	33.64	31.52	23.27	25.30	37.05	37.21	45.48	44.94	23.27	24.05	40.27	41.02	56.44	56.11	43.99	45.25	89.17	21.49	18.68	38.44	28.95	24.73	23.66	86.62	13.03	36.71	37.08	143.96	89.83	152.86	31.76	81.20	73.83	23.74	23.35	114.29	111.70	71.36	24.17	23.40	28.95	37.77	87.38	12.43	86.94	95.95	95.19	95.89	83.03	82.22	36.62	36.44	95.95	25.00	45.32	44.67	22.86	23.35	14.03	13.99	37.97	70.21	110.15	38.97	39.68	111.04	110.90	107.64	94.56	82.49	97.77	137.43	12.27	10.49	28.11	27.53	72.69	74.60	79.88	173.87	54.47	53.97	76.12	76.12	79.52	33.89	33.76	42.71	42.25	37.13	82.61	110.15	18.22	16.94	27.87	25.81	36.84	36.99	89.83	70.21	95.95	37.77	37.97	16.69	27.53	46.11	33.64	31.52	10.49	16.90	85.80	61.64	24.85	68.44	53.97	36.44	24.05	28.95	98.56	69.61	56.11	23.66	32.84	43.22	39.34	40.65	44.54	48.87	45.55	50.35	9.89	19.40	17.31	12.12	0.75	
A128FR25a February 25 2015 09_47.obj	92.12	99.82	17.40	34.24	32.10	22.47	24.21	40.05	39.44	46.68	47.76	22.47	23.38	49.38	47.25	57.26	58.78	45.78	45.90	98.25	21.63	18.58	47.79	27.69	28.90	27.94	95.29	11.96	37.66	38.17	146.30	97.54	149.73	32.68	82.43	73.26	24.65	24.91	109.59	109.22	78.20	23.95	23.79	27.69	40.01	95.46	13.60	94.98	100.48	98.52	99.34	83.71	83.59	40.09	39.95	100.49	27.50	47.20	48.37	22.75	23.74	11.50	11.50	37.57	77.04	110.12	41.18	42.86	111.25	111.02	112.42	98.40	82.58	102.77	138.64	14.86	13.95	25.30	26.24	78.58	78.66	87.61	172.48	55.21	55.61	77.35	77.35	82.30	36.16	36.45	41.63	41.72	45.49	89.27	110.12	17.39	16.91	30.23	30.96	35.82	37.44	97.54	77.04	100.48	40.01	37.57	20.49	26.24	42.54	34.24	32.10	13.95	19.20	92.10	61.02	27.19	67.82	55.61	39.95	23.38	27.69	98.62	70.93	58.78	27.94	34.52	46.06	43.14	46.01	46.00	52.04	48.28	52.15	10.30	20.01	14.01	12.98	0.90	
A129FA29 February 26 2015 01_10.obj	118.10	98.79	19.24	33.36	37.75	24.20	25.88	42.48	43.31	54.61	55.92	24.20	24.93	50.99	53.57	59.17	56.03	43.69	42.75	116.27	27.07	19.67	43.23	31.43	34.52	33.85	112.93	15.65	42.02	41.67	154.29	116.08	152.32	37.27	79.55	87.62	29.26	31.03	112.81	109.33	100.93	27.84	29.87	31.43	42.16	114.75	8.58	108.76	120.90	120.15	117.50	80.78	80.43	41.68	41.82	120.90	17.00	54.23	55.05	23.89	24.10	14.51	14.26	40.83	101.16	110.98	48.07	52.29	111.98	111.64	126.43	120.12	84.06	111.58	137.36	14.07	12.21	29.68	32.47	77.90	77.42	110.68	174.56	67.57	67.21	74.47	74.47	99.25	40.29	40.22	44.77	44.14	43.50	113.09	110.98	19.55	19.63	38.11	39.52	42.36	45.26	116.08	101.16	120.90	42.16	40.83	24.27	32.47	47.51	33.36	37.75	12.21	22.60	116.90	63.30	17.15	70.10	67.21	41.82	24.93	31.43	99.34	67.91	56.03	33.85	36.36	63.54	49.49	60.46	57.53	59.68	61.01	59.85	12.19	20.41	19.05	15.53	0.66	
A131FL22a February 26 2015 01_23.obj	88.10	89.85	14.10	27.11	30.58	21.10	20.34	35.94	34.96	43.71	43.58	21.12	20.34	39.52	39.70	56.22	54.06	43.59	43.51	91.81	23.87	18.55	38.90	23.08	25.59	24.24	88.14	15.85	33.36	32.49	125.42	90.75	134.06	39.03	75.74	66.79	22.90	21.85	100.63	98.24	73.67	22.69	21.69	23.08	35.91	89.75	11.11	88.96	94.55	94.24	92.83	76.71	76.26	35.75	35.19	94.55	22.50	44.04	44.24	19.94	19.79	11.80	11.51	42.96	75.09	98.82	39.09	38.36	99.39	99.45	109.47	91.48	76.01	97.76	122.57	10.48	11.67	28.18	28.08	71.49	71.79	84.87	159.40	54.97	55.94	70.66	70.66	76.85	33.21	32.35	37.49	38.14	39.70	86.38	98.82	15.43	15.02	28.05	28.03	33.45	33.33	90.75	75.09	94.55	35.91	42.96	17.67	28.08	39.97	27.11	30.58	11.67	21.30	89.12	54.62	22.23	61.42	55.94	35.19	20.34	23.08	89.97	66.89	54.06	24.24	31.42	43.80	42.52	44.93	43.04	46.98	43.65	50.85	8.97	15.99	17.66	11.37	0.63	
A132FA46 February 26 2015 01_35.obj	96.72	84.56	15.66	28.77	34.38	24.97	24.92	41.67	40.40	52.17	52.08	25.09	24.92	43.43	44.65	54.31	53.43	38.74	40.50	96.19	25.31	19.26	37.49	29.02	30.59	29.15	95.65	16.15	41.21	41.58	140.24	98.06	137.67	34.97	68.90	76.00	26.87	25.57	101.15	99.31	77.67	26.22	25.00	29.02	37.19	96.82	13.17	94.46	104.80	101.63	104.12	70.47	70.34	40.81	40.08	104.81	26.50	51.90	52.04	23.69	24.47	11.30	11.23	38.96	79.67	97.92	43.86	44.65	99.41	98.79	118.09	102.12	69.75	106.79	122.29	12.73	11.63	27.97	27.26	69.46	71.38	92.16	161.16	60.47	61.04	63.82	63.82	81.25	38.32	37.79	37.67	37.71	40.28	94.05	97.92	17.10	16.90	33.20	32.67	37.35	38.65	98.06	79.67	104.80	37.19	38.96	18.54	27.26	39.76	28.77	34.38	11.63	19.60	95.38	57.23	26.34	64.03	61.04	40.08	24.92	29.02	88.97	59.95	53.43	29.15	32.09	49.57	44.42	46.02	50.54	53.24	50.80	53.95	13.36	20.97	20.40	13.44	0.87	
A133FR28 February 26 2015 01_44.obj	87.81	90.86	17.07	28.35	31.57	22.35	26.06	36.71	36.12	46.88	48.08	22.35	23.56	39.49	44.38	55.48	54.57	43.94	43.51	88.71	26.58	19.99	39.10	30.01	27.79	26.89	88.81	14.49	39.67	39.59	140.87	90.41	143.28	33.37	73.79	72.38	23.70	24.34	105.49	103.63	72.47	23.98	24.93	30.01	38.04	89.55	14.75	87.51	96.59	91.72	94.94	75.77	74.93	36.32	36.91	96.59	30.00	46.77	48.82	22.31	23.75	13.02	10.96	38.42	72.27	103.80	37.34	42.32	105.08	104.53	110.76	93.62	73.95	100.68	128.26	12.31	12.03	28.55	29.26	72.72	72.55	82.67	164.50	52.88	54.65	68.71	68.71	75.77	34.50	34.35	39.77	39.35	38.48	85.35	103.80	16.25	15.73	29.01	30.40	35.84	36.54	90.41	72.27	96.59	38.04	38.42	19.72	29.26	40.69	28.35	31.57	12.03	19.00	84.03	59.48	29.51	66.28	54.65	36.91	23.56	30.01	92.83	62.83	54.57	26.89	32.78	41.51	43.78	43.85	43.78	46.34	43.79	52.73	12.93	23.15	19.95	12.99	0.73	
A134FR20 February 26 2015 01_55.obj	76.20	98.73	19.91	25.61	29.27	20.41	22.93	34.36	34.65	40.45	40.78	20.41	21.96	35.60	36.14	58.57	56.82	46.56	45.05	88.93	19.79	18.62	38.05	29.78	22.54	23.03	82.37	12.63	32.61	32.68	145.46	86.27	151.36	30.75	78.82	75.42	21.86	21.93	112.06	113.12	62.04	22.07	21.59	29.78	40.32	80.13	11.65	82.24	92.45	91.28	92.20	80.40	79.78	34.37	33.95	92.45	23.50	40.56	40.62	20.68	21.60	11.57	14.01	37.13	62.76	108.60	35.29	35.16	110.16	110.10	102.26	92.40	80.86	91.01	137.36	10.21	11.00	23.32	24.68	75.15	72.07	70.36	173.60	47.13	47.44	73.74	73.74	75.28	30.70	30.02	41.76	42.22	38.58	71.58	108.60	16.55	15.98	26.89	25.28	35.78	39.64	86.27	62.76	92.45	40.32	37.13	17.67	24.68	45.72	25.61	29.27	11.00	16.00	76.74	61.34	23.30	68.14	47.44	33.95	21.96	29.78	97.03	67.25	56.82	23.03	30.77	37.26	34.25	36.98	39.08	49.51	42.88	49.51	9.87	22.96	14.00	11.39	1.50	
A135FA29 February 26 2015 01_50.obj	97.77	89.00	18.26	31.77	31.62	27.00	26.29	40.91	41.05	51.56	52.26	27.09	26.29	46.54	45.27	52.98	52.11	39.19	39.86	94.79	25.69	19.41	39.09	28.99	30.86	28.42	94.40	13.90	41.92	41.67	140.68	94.95	136.16	35.57	70.74	76.76	28.77	27.38	101.13	98.91	81.24	27.35	26.83	28.99	38.11	100.59	12.67	91.72	107.99	105.89	107.79	72.29	71.84	40.16	39.24	107.99	25.50	51.05	51.41	25.86	26.19	14.39	11.41	39.14	81.83	99.73	44.92	43.26	100.88	100.52	113.27	106.15	71.89	101.66	123.35	12.05	11.54	26.62	24.82	68.44	70.12	93.85	159.65	62.02	62.51	65.66	65.66	83.95	39.91	38.57	39.83	38.77	39.31	96.17	99.73	19.16	18.22	32.08	32.78	38.04	38.72	94.95	81.83	107.99	38.11	39.14	21.27	24.82	36.40	31.77	31.62	11.54	20.80	97.37	58.13	25.35	64.93	62.51	39.24	26.29	28.99	90.86	61.87	52.11	28.42	32.53	50.42	45.68	50.70	46.95	53.32	49.51	58.43	10.73	20.70	17.84	13.27	0.79	
A136FA21 February 26 2015 02_06.obj	92.90	93.20	18.31	28.13	31.08	25.35	25.44	39.58	39.66	50.95	50.27	25.52	25.44	50.21	46.93	52.87	52.48	39.85	38.88	96.93	22.74	18.93	40.45	28.68	33.60	31.85	93.88	13.47	39.16	39.09	135.34	98.63	140.57	32.67	74.88	74.40	28.37	27.88	103.71	104.29	74.25	27.25	26.94	28.68	37.12	96.01	12.98	92.15	106.60	102.96	105.87	76.57	75.99	38.01	37.73	106.60	26.00	49.71	49.18	24.09	25.25	11.74	11.55	36.74	74.61	103.56	45.76	44.75	105.24	104.93	114.78	105.26	75.74	101.20	128.54	12.97	12.22	25.55	24.12	70.55	69.59	88.37	162.89	61.50	61.12	69.80	69.80	80.28	37.35	36.26	40.84	40.59	43.67	90.86	103.56	17.27	16.68	35.55	34.06	36.30	38.10	98.63	74.61	106.60	37.12	36.74	20.03	24.12	38.39	28.13	31.08	12.22	21.90	92.86	59.71	25.96	66.51	61.12	37.73	25.44	28.68	94.51	65.83	52.48	31.85	31.87	46.38	44.42	45.83	46.95	54.59	51.41	55.15	10.36	22.73	16.68	13.86	1.37	
A137FL20a February 26 2015 02_17-BkNk-RShldr.obj	79.17	91.70	19.80	26.34	30.00	21.02	20.53	35.09	35.64	42.51	42.80	21.04	20.53	37.92	41.31	54.28	52.18	41.37	41.87	91.89	20.51	18.35	35.83	29.44	26.60	24.21	85.63	12.98	32.53	32.15	132.60	90.21	137.93	31.40	71.90	75.40	23.51	22.52	101.85	98.48	70.68	23.23	22.17	29.44	34.46	85.50	14.24	86.95	94.54	90.11	92.91	73.55	73.16	35.27	35.83	94.55	28.50	42.70	43.11	19.50	19.99	11.54	11.50	37.67	71.09	101.34	37.82	38.07	102.58	102.33	107.49	91.68	72.20	94.25	123.73	10.48	10.43	26.39	24.31	67.72	69.82	75.31	161.34	50.10	50.35	66.82	66.82	77.06	31.82	31.44	36.50	36.73	44.81	76.35	101.34	15.75	15.77	28.99	28.13	36.15	39.25	90.21	71.09	94.54	34.46	37.67	19.65	24.31	39.60	26.34	30.00	10.43	18.90	79.89	59.09	28.48	65.89	50.35	35.83	20.53	29.44	92.38	62.93	52.18	24.21	30.31	38.86	37.43	37.93	41.09	51.15	43.70	50.77	9.64	22.45	12.27	11.17	0.99	
A138FA20 February 26 2015 02_24.obj	86.77	92.42	19.38	31.92	31.99	22.01	23.08	38.94	38.82	45.93	46.36	22.01	22.48	44.10	44.13	55.41	55.68	43.25	43.82	91.25	26.01	20.03	38.67	29.82	27.24	26.10	91.02	13.82	37.25	36.15	144.81	93.12	141.60	32.93	73.03	74.66	25.13	25.26	105.08	102.71	72.48	24.80	24.69	29.82	40.23	89.03	12.35	88.92	101.25	98.74	101.25	74.50	74.12	37.25	37.22	101.25	25.00	45.05	45.59	21.49	22.44	13.68	13.49	37.30	72.89	102.85	39.97	41.06	103.88	103.73	110.02	100.18	74.65	100.05	129.03	14.02	11.77	24.39	25.28	73.02	73.28	83.28	163.53	53.69	55.08	67.95	67.95	81.64	36.60	35.87	40.81	39.96	39.30	84.93	102.85	16.68	16.37	28.85	27.45	36.71	37.95	93.12	72.89	101.25	40.23	37.30	21.11	25.28	38.56	31.92	31.99	11.77	21.60	86.75	58.96	24.70	65.76	55.08	37.22	22.48	29.82	91.95	62.13	55.68	26.10	33.39	45.53	39.33	42.88	43.76	51.33	51.05	50.15	10.43	21.87	17.85	12.81	0.88	
A139FA27 February 26 2015 02_44.obj	87.27	94.94	19.60	33.99	31.97	21.78	22.41	39.77	39.89	46.15	47.10	21.84	22.41	39.63	38.52	57.79	54.07	44.64	43.62	91.65	21.93	18.88	40.61	29.96	26.74	25.59	87.56	13.12	36.64	37.42	143.91	90.64	147.39	34.11	75.34	75.03	24.40	24.09	111.39	109.22	71.14	25.38	24.50	29.96	40.98	90.23	14.04	88.25	104.47	97.87	103.11	77.02	76.77	38.48	37.90	104.47	28.50	45.47	45.83	20.55	21.96	12.55	12.28	40.65	72.08	105.30	41.20	37.53	106.67	106.29	114.88	102.96	75.94	102.62	134.72	10.38	11.72	24.21	23.00	74.90	73.06	84.28	173.92	58.14	59.48	70.26	70.26	79.74	36.06	36.02	39.97	40.30	36.92	85.93	105.30	16.60	10.90	30.32	28.13	36.37	38.65	90.64	72.08	104.47	40.98	40.65	17.92	23.00	42.32	33.99	31.97	11.72	17.70	87.70	60.88	28.07	67.68	59.48	37.90	22.41	29.96	95.64	65.68	54.07	25.59	32.17	43.36	42.51	44.66	42.50	50.79	50.79	53.63	10.36	24.71	16.12	11.82	0.99	
A140FA26a February 27 2015 01_44.obj	78.32	88.57	18.74	29.99	29.09	20.73	22.28	36.79	37.42	44.13	44.21	20.73	21.58	36.05	38.13	53.17	53.71	41.75	43.28	85.63	21.80	18.99	38.82	28.29	23.35	24.96	80.62	9.99	36.18	36.56	133.75	84.72	132.12	30.31	69.82	71.52	23.44	22.76	99.14	97.10	64.17	22.87	22.44	28.29	37.20	83.13	13.45	80.86	94.95	89.92	93.04	71.11	71.32	35.90	37.33	94.94	27.00	43.85	44.29	21.01	21.84	10.46	10.46	34.70	64.28	98.11	34.33	35.76	99.86	98.90	100.98	89.84	70.26	92.40	121.94	11.17	9.98	22.27	22.98	68.37	70.90	73.68	156.86	51.87	52.67	64.74	64.74	70.84	34.37	34.24	38.86	38.34	37.21	75.32	98.11	14.83	14.36	25.75	27.24	34.53	36.99	84.72	64.28	94.95	37.20	34.70	20.20	22.98	38.10	29.99	29.09	9.98	18.70	79.13	56.13	26.91	62.93	52.67	37.33	21.58	28.29	87.65	59.37	53.71	24.96	30.81	38.46	36.80	39.52	38.70	46.97	45.60	49.30	9.54	20.24	13.47	11.20	0.79	
A141FA23 February 28 2015 11_50.obj	84.29	94.29	17.96	28.51	30.47	22.97	25.21	37.87	37.87	44.43	45.02	22.97	23.72	43.62	40.81	54.46	53.46	41.44	42.45	92.63	22.37	19.09	39.00	27.62	27.59	25.10	88.88	12.58	36.25	36.65	135.73	91.73	141.74	29.11	76.33	68.94	23.52	23.31	104.16	99.99	73.46	23.07	23.39	27.62	35.52	87.62	13.13	88.02	96.99	93.67	95.56	78.17	77.56	37.04	37.11	96.99	26.00	43.92	44.71	21.73	23.69	11.93	11.89	35.75	70.68	103.95	41.32	39.19	104.92	104.77	106.40	93.73	76.76	96.41	127.02	11.48	10.19	25.81	23.43	69.51	71.85	80.79	164.49	54.09	53.93	71.25	71.25	72.92	35.62	34.59	41.27	40.27	41.03	82.97	103.95	16.38	16.36	29.23	28.95	34.04	34.91	91.73	70.68	96.99	35.52	35.75	20.53	23.43	35.50	28.51	30.47	10.19	20.10	84.78	59.30	26.27	66.10	53.93	37.11	23.72	27.62	94.82	67.20	53.46	25.10	32.77	42.29	40.60	43.56	40.57	47.61	47.52	49.43	9.66	20.41	14.48	12.42	0.82	
